Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,73.44999694824219,73.69000244140625,72.80999755859375,73.62000274658203,73.02740478515625,2472300
2020-01-03,72.81999969482422,73.87999725341797,72.80999755859375,73.83000183105469,73.23571014404297,1451600
2020-01-06,73.36000061035156,74.05000305175781,73.19999694824219,73.98999786376953,73.39441680908203,1617100
2020-01-07,73.76000213623047,73.76000213623047,72.9800033569336,73.0199966430664,72.4322280883789,957100
2020-01-08,73.23999786376953,73.83000183105469,73.04000091552734,73.44000244140625,72.84884643554688,1920900
2020-01-09,73.80000305175781,74.30000305175781,73.0,73.76000213623047,73.16627502441406,1624900
2020-01-10,74.01000213623047,74.08999633789062,73.27999877929688,73.4800033569336,72.8885269165039,1214600
2020-01-13,73.4800033569336,73.88999938964844,72.76000213623047,73.06999969482422,72.48182678222656,2012200
2020-01-14,72.97000122070312,74.23999786376953,72.75,74.20999908447266,73.6126480102539,1547000
2020-01-15,73.69000244140625,75.19000244140625,72.8499984741211,74.69000244140625,74.08878326416016,1542300
2020-01-16,74.80000305175781,75.80999755859375,74.33999633789062,75.58000183105469,74.97161865234375,1519800
2020-01-17,75.87000274658203,75.94000244140625,75.27999877929688,75.86000061035156,75.2493667602539,1285300
2020-01-21,75.45999908447266,75.97000122070312,75.30999755859375,75.80999755859375,75.19976806640625,1349000
2020-01-22,75.95999908447266,76.31999969482422,75.47000122070312,75.5199966430664,74.91210174560547,1368300
2020-01-23,75.37000274658203,75.76000213623047,74.54000091552734,75.68000030517578,75.07080841064453,1371700
2020-01-24,75.5999984741211,75.5999984741211,74.13999938964844,74.45999908447266,73.86063385009766,957400
2020-01-27,73.37999725341797,74.2699966430664,73.16000366210938,73.41000366210938,72.819091796875,1311100
2020-01-28,73.7699966430664,74.22000122070312,73.3499984741211,73.5,72.90835571289062,1678700
2020-01-29,73.5999984741211,73.5999984741211,72.23999786376953,72.27999877929688,71.69818115234375,1787900
2020-01-30,71.91000366210938,72.81999969482422,71.36000061035156,72.77999877929688,72.19416046142578,1270600
